0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4,52,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,25,331,0,0,0,0,0,0,0,0,0,0,0,0
6,25,4,7,23,69,0,0,0,0,0,0,0,0,0,0,0
7,4,6,9,71,0,0,0,0,0,0,0,0,0,0,0,0
6,4,6,2,158,0,0,0,0,0,0,0,0,0,0,0,0
6,4,6,2,6,2,2,1,30,0,0,0,0,0,0,0,0
10,73,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,13,6,18,367,0,0,0,0,0,0,0,0,0,0
8,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,70,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,19,80,0,0,0,0,0,0,0,0,0,0,0,0
6,21,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,14,20,91,0,0,0,0,0,0,0,0,0,0,0
7,70,29,180,0,0,0,0,0,0,0,0,0,0,0,0,0
5,112,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,20,19,35,0,0,0,0,0,0,0,0,0,0,0
7,20,5,17,134,0,0,0,0,0,0,0,0,0,0,0,0
6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,58,126,218,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,29,43,368,0,0,0,0,0,0,0,0,0,0,0
7,29,5,17,29,3,25,131,415,0,0,0,0,0,0,0,0
10,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,23,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,28,274,0,0,0,0,0,0,0,0,0,0,0,0
6,50,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,91,84,372,0,0,0,0,0,0,0,0,0,0,0,0
6,10,28,15,79,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,22,207,0,0,0,0,0,0,0,0,0,0,0,0
6,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,22,8,41,78,373,0,0,0,0,0,0,0,0,0,0,0
7,60,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,25,65,0,0,0,0,0,0,0,0,0,0,0,0
6,25,4,7,17,75,0,0,0,0,0,0,0,0,0,0,0
7,4,6,9,52,220,0,0,0,0,0,0,0,0,0,0,0
7,7,1,20,119,0,0,0,0,0,0,0,0,0,0,0,0
6,11,30,195,0,0,0,0,0,0,0,0,0,0,0,0,0
5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,17,30,13,196,0,0,0,0,0,0,0,0,0,0
8,58,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,35,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,16,411,0,0,0,0,0,0,0,0,0,0,0,0
6,33,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,48,82,508,0,0,0,0,0,0,0,0,0,0,0,0
6,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,4,2,245,0,0,0,0,0,0,0,0,0,0,0,0
6,10,6,2,6,2,2,1,31,650,0,0,0,0,0,0,0
11,63,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,19,195,67,0,0,0,0,0,0,0,0,0,0,0,0,0
5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,64,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,26,320,0,0,0,0,0,0,0,0,0,0,0,0
6,33,57,244,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,247,286,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,67,35,83,0,0,0,0,0,0,0,0,0,0,0,0
6,20,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,34,388,0,0,0,0,0,0,0,0,0,0,0,0
6,14,25,145,507,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,12,52,143,0,0,0,0,0,0,0,0,0,0,0
7,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,64,64,1,11,80,305,0,0,0,0,0,0,0,0,0,0
8,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,8,5,50,221,0,0,0,0,0,0,0,0,0,0,0
7,21,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,43,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,25,43,7,13,156,439,0,0,0,0,0,0,0,0
10,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,28,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,21,31,130,0,0,0,0,0,0,0,0,0,0,0
7,23,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,23,5,47,569,0,0,0,0,0,0,0,0,0,0,0
7,11,54,396,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16,31,25,48,179,355,0,0,0,0,0,0,0,0,0,0
8,69,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,94,641,0,0,0,0,0,0,0,0,0,0,0,0,0
5,21,42,527,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,49,233,528,0,0,0,0,0,0,0,0,0,0,0
7,38,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21,16,34,129,102,563,0,0,0,0,0,0,0,0,0,0
8,33,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,33,5,25,46,600,0,0,0,0,0,0,0,0,0,0
8,12,8,2,211,0,0,0,0,0,0,0,0,0,0,0,0
6,142,136,178,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16,30,265,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,47,84,347,0,0,0,0,0,0,0,0,0,0,0
7,47,5,8,24,398,0,0,0,0,0,0,0,0,0,0,0
7,7,1,14,175,0,0,0,0,0,0,0,0,0,0,0,0
6,30,24,11,100,262,601,0,0,0,0,0,0,0,0,0,0
8,18,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,56,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,22,226,0,0,0,0,0,0,0,0,0,0,0,0
6,22,4,7,30,25,67,225,488,0,0,0,0,0,0,0,0
10,136,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,24,41,385,0,0,0,0,0,0,0,0,0,0,0
7,22,25,22,2,84,68,282,464,0,0,0,0,0,0,0,0
10,25,9,151,697,0,0,0,0,0,0,0,0,0,0,0,0
6,41,20,257,539,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,29,465,0,0,0,0,0,0,0,0,0,0,0,0
6,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,38,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,14,89,381,0,0,0,0,0,0,0,0,0,0,0
7,43,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
